task,task_no,source
Gather and organize information on problems or procedures.,Samle inn og systematisere informasjon om problemer eller prosedyrer.,manual 2026-09-07
Determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications.,"Finne måter å styrke eller kombinere materialer på, eller utvikle nye materialer med nye eller bestemte egenskaper til bruk i ulike produkter.",manual 2026-09-07
"Plan and organize the acquisition, storage, and exhibition of collections and related materials, including the selection of exhibition themes and designs, and develop or install exhibit materials.","Planlegge og organisere innkjøp, oppbevaring og utstilling av samlinger og tilhørende materiale, velge utstillingstemaer og utforming, og utvikle eller montere utstillinger.",manual 2026-09-07
"Create and modify maps, graphs, or diagrams, using geographical information software and related equipment, and principles of cartography, such as coordinate systems, longitude, latitude, elevation, topography, and map scales.","Lage og endre kart, grafer eller diagrammer med geografisk informasjonsprogramvare og kartografiske prinsipper som koordinatsystemer, lengde- og breddegrad, høyde, topografi og målestokk.",manual 2026-09-07
"Clean food preparation equipment, work areas, and counters or tables.","Rengjøre kjøkkenutstyr, arbeidsflater og disker eller bord.",manual 2026-09-07
Meet with applicants to obtain information for loan applications and to answer questions about the process.,Møte søkere for å innhente opplysninger til lånesøknader og svare på spørsmål om prosessen.,manual 2026-09-07
"Analyze applicants' financial status, credit, and property evaluations to determine feasibility of granting loans.","Analysere søkernes økonomi, kreditthistorikk og eiendomsvurderinger for å avgjøre om lån kan innvilges.",manual 2026-09-07
"Explain to customers the different types of loans and credit options that are available, as well as the terms of those services.","Forklare kundene de ulike låne- og kredittypene som finnes, og vilkårene for dem.",manual 2026-09-07
"Place clean dishes, utensils, or cooking equipment in storage areas.","Sette rene tallerkener, bestikk eller kjøkkenutstyr på plass.",manual 2026-09-07
"Attach farm implements such as plows, discs, sprayers, or harvesters to tractors, using bolts and hand tools.","Koble redskaper som ploger, harver, sprøyter eller høstemaskiner til traktorer med bolter og håndverktøy.",manual 2026-09-07
"Maintain knowledge of, comply with, and enforce all institutional policies, rules, procedures, and regulations.","Kjenne, følge og håndheve alle institusjonens regler, rutiner og forskrifter.",manual 2026-09-07
"Maintain order, discipline, and security within assigned areas in accordance with relevant rules, regulations, policies, and laws.","Opprettholde orden, disiplin og sikkerhet i tildelte områder i samsvar med regler, forskrifter, retningslinjer og lover.",manual 2026-09-07
"Inspect conditions of locks, window bars, grills, doors, and gates at correctional facilities to ensure security and help prevent escapes.","Inspisere låser, vindusgitter, dører og porter i fengsler for å ivareta sikkerheten og hindre rømning.",manual 2026-09-07
Operate controls to open and close transit vehicle doors.,Betjene kontroller for å åpne og lukke dørene på kollektivtransport.,manual 2026-09-07
"Drive and control rail-guided public transportation, such as subways, elevated trains, and electric-powered streetcars, trams, or trolleys, to transport passengers.","Kjøre og styre skinnegående kollektivtransport som T-bane, forstadsbane og trikk for å frakte passasjerer.",manual 2026-09-07
Monitor lights indicating obstructions or other trains ahead and watch for car and truck traffic at crossings to stay alert to potential hazards.,"Følge med på lys som varsler hindringer eller tog foran, og se etter bil- og lastebiltrafikk ved overganger for å oppdage farer.",manual 2026-09-07
Prepare sketches or follow blueprints to determine the location of wiring or equipment and to ensure conformance to building and safety codes.,Lage skisser eller følge tegninger for å fastslå hvor ledninger og utstyr skal plasseres og sikre samsvar med bygge- og sikkerhetsforskrifter.,manual 2026-09-07
"Place conduit, pipes, or tubing, inside designated partitions, walls, or other concealed areas, and pull insulated wires or cables through the conduit to complete circuits between boxes.","Legge kabelrør, rør eller slanger inne i vegger og andre skjulte områder og trekke isolerte ledninger eller kabler gjennom for å fullføre kretsene mellom boksene.",manual 2026-09-07
"Work from ladders, scaffolds, or roofs to install, maintain, or repair electrical wiring, equipment, or fixtures.","Arbeide fra stiger, stillas eller tak for å installere, vedlikeholde eller reparere elektriske ledninger, utstyr eller armaturer.",manual 2026-09-07
Conduct pre-operational checks on equipment to ensure proper functioning.,Gjøre kontroller av utstyr før oppstart for å sikre at det fungerer.,manual 2026-09-07
"Move levers and turn valves to activate power hammers, or to raise and lower drophammers that drive piles to required depths.","Betjene spaker og ventiler for å starte fallhammere, eller for å heve og senke hammere som slår peler ned til ønsket dybde.",manual 2026-09-07
"Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support.","Lese tekniske håndbøker, rådføre seg med brukere eller kjøre diagnostikk for å finne og løse problemer eller gi teknisk hjelp og støtte.",manual 2026-09-07
"Set up equipment for employee use, performing or ensuring proper installation of cables, operating systems, or appropriate software.","Sette opp utstyr til ansatte, og utføre eller sikre riktig installasjon av kabler, operativsystemer eller programvare.",manual 2026-09-07
Answer user inquiries regarding computer software or hardware operation to resolve problems.,Svare på spørsmål fra brukere om programvare eller maskinvare for å løse problemer.,manual 2026-09-07
Read work orders or examine parts to determine parts or sections of products to be produced.,Lese arbeidsordrer eller undersøke deler for å avgjøre hvilke deler eller produktdeler som skal lages.,manual 2026-09-07
"Monitor material flow or instruments, such as temperature or pressure gauges, indicators, or meters, to ensure optimal processing conditions.","Overvåke materialflyt eller instrumenter som temperatur- og trykkmålere, indikatorer eller målere for å sikre optimale prosessforhold.",manual 2026-09-07
"Trim or remove excess material, using scrapers, knives, or band saws.","Trimme eller fjerne overflødig materiale med skraper, kniver eller båndsager.",manual 2026-09-07
Monitor pumps and flow lines for gas and fluid leaks.,Overvåke pumper og rørledninger for gass- og væskelekkasjer.,manual 2026-09-07
Check identification of customers to verify age requirements for purchase of alcohol.,Kontrollere legitimasjon for å sjekke at kunder oppfyller alderskravet for kjøp av alkohol.,manual 2026-09-07
"Clean glasses, utensils, and bar equipment.","Rengjøre glass, redskaper og barutstyr.",manual 2026-09-07
"Clean bars, work areas, and tables.","Rengjøre barer, arbeidsområder og bord.",manual 2026-09-07
Train clients to use hearing aids or other augmentative communication devices.,Lære klienter å bruke høreapparater eller andre kommunikasjonshjelpemidler.,manual 2026-09-07
"Massage, shampoo, and condition patron's hair and scalp to clean them and remove excess oil.","Massere, vaske og pleie kundens hår og hodebunn for å rense og fjerne overflødig fett.",manual 2026-09-07
"Assign work to employees, based on material or worker requirements of specific jobs.",Fordele arbeid til ansatte ut fra material- eller bemanningsbehovet i hver jobb.,manual 2026-09-07
"Plan, schedule, or coordinate construction project activities to meet deadlines.","Planlegge, tidfeste eller koordinere aktiviteter i byggeprosjekter for å holde frister.",manual 2026-09-07
